#,Badge Name,Game Context,The Real-World Fact
1,The Walk for Water,Complete a round on Easy Mode.,"In many regions, women and children walk an average of 3.7 miles daily to collect water, often missing school or work."
2,The Daily 40,Reach 20 cans on Medium Mode.,A standard yellow jerrycan weighs 40 lbs when full. Carrying that weight for miles is a daily physical reality for millions.
3,Bedrock Breaker,Reach 25 cans on Hard Mode.,Some wells require drilling through hundreds of feet of solid rock using heavy machinery to reach clean aquifers.

5,100% Transparency,Finish a round with Perfect Accuracy (no missed clicks).,charity: water proves every project with GPS coordinates and photos so you can see exactly where your impact landed.
6,Pipeline Architect,Accumulate a total of 100 cans across multiple game sessions.,Many communities are served by piped systems that use gravity to feed mountain spring water down to village tap stands.
7,The Viral Valve,Share your score or the game link with a classmate or group chat.,One person sharing the story can start a ripple effect; advocacy is just as vital as donating for sustainable change.
8,Yellow Fleet Mechanic,"Play 10 games in a single sitting.",Sustainability is key; charity: water uses remote sensors to monitor wells and ensure they keep pumping for years.
9**,Community Catalyst,"Open and read the ""How to Play"" instructions panel.","Before a well is dug, Water Committees are formed and trained to manage and repair the well for long-term success."
10,The Spring Member,Achieve a Winning Streak of 3 games in a row.,The Spring is a community of monthly donors whose consistent support allows for long-term planning and emergency repairs.
